"","ID","class","land_cover","Year"
"211","C13-S3","Developed, Open Space",73,2013
"212","C13-S3","Developed, Open Space",73,2014
"213","C13-S3","Developed, Open Space",73,2015
"214","C13-S3","Developed, Open Space",73,2016
"215","C13-S3","Developed, Open Space",73,2017
"216","C13-S3","Developed, Open Space",72,2018
"217","C13-S3","Developed, Open Space",72,2019
"218","C13-S3","Developed, Open Space",72,2020
"219","C13-S3","Developed, Open Space",72,2021
"220","C13-S3","Developed, Open Space",71,2022
"221","C13-S4","Developed, Open Space",109,2013
"222","C13-S4","Developed, Open Space",109,2014
"223","C13-S4","Developed, Open Space",109,2015
"224","C13-S4","Developed, Open Space",108,2016
"225","C13-S4","Developed, Open Space",108,2017
"226","C13-S4","Developed, Open Space",108,2018
"227","C13-S4","Developed, Open Space",107,2019
"228","C13-S4","Developed, Open Space",107,2020
"229","C13-S4","Developed, Open Space",107,2021
"230","C13-S4","Developed, Open Space",107,2022
"231","C14-S1","Developed, Open Space",268,2013
"232","C14-S1","Developed, Open Space",268,2014
"233","C14-S1","Developed, Open Space",267,2015
"234","C14-S1","Developed, Open Space",267,2016
"235","C14-S1","Developed, Open Space",267,2017
"236","C14-S1","Developed, Open Space",267,2018
"237","C14-S1","Developed, Open Space",266,2019
"238","C14-S1","Developed, Open Space",266,2020
"239","C14-S1","Developed, Open Space",266,2021
"240","C14-S1","Developed, Open Space",265,2022
"241","C14-S2","Developed, Open Space",114,2013
"242","C14-S2","Developed, Open Space",114,2014
"243","C14-S2","Developed, Open Space",113,2015
"244","C14-S2","Developed, Open Space",113,2016
"245","C14-S2","Developed, Open Space",113,2017
"246","C14-S2","Developed, Open Space",113,2018
"247","C14-S2","Developed, Open Space",112,2019
"248","C14-S2","Developed, Open Space",112,2020
"249","C14-S2","Developed, Open Space",112,2021
"250","C14-S2","Developed, Open Space",111,2022
"251","C14-S3","Developed, Open Space",162,2013
"252","C14-S3","Developed, Open Space",162,2014
"253","C14-S3","Developed, Open Space",161,2015
"254","C14-S3","Developed, Open Space",161,2016
"255","C14-S3","Developed, Open Space",161,2017
"256","C14-S3","Developed, Open Space",161,2018
"257","C14-S3","Developed, Open Space",161,2019
"258","C14-S3","Developed, Open Space",161,2020
"259","C14-S3","Developed, Open Space",161,2021
"260","C14-S3","Developed, Open Space",161,2022
"261","C18-S1","Developed, Open Space",391,2013
"262","C18-S1","Developed, Open Space",389,2014
"263","C18-S1","Developed, Open Space",388,2015
"264","C18-S1","Developed, Open Space",386,2016
"265","C18-S1","Developed, Open Space",385,2017
"266","C18-S1","Developed, Open Space",383,2018
"267","C18-S1","Developed, Open Space",381,2019
"268","C18-S1","Developed, Open Space",380,2020
"269","C18-S1","Developed, Open Space",378,2021
"270","C18-S1","Developed, Open Space",377,2022
"271","C18-S2","Developed, Open Space",564,2013
"272","C18-S2","Developed, Open Space",563,2014
"273","C18-S2","Developed, Open Space",563,2015
"274","C18-S2","Developed, Open Space",562,2016
"275","C18-S2","Developed, Open Space",561,2017
"276","C18-S2","Developed, Open Space",560,2018
"277","C18-S2","Developed, Open Space",560,2019
"278","C18-S2","Developed, Open Space",559,2020
"279","C18-S2","Developed, Open Space",558,2021
"280","C18-S2","Developed, Open Space",557,2022
"281","C18-S3","Developed, Open Space",424,2013
"282","C18-S3","Developed, Open Space",424,2014
"283","C18-S3","Developed, Open Space",425,2015
"284","C18-S3","Developed, Open Space",426,2016
"285","C18-S3","Developed, Open Space",426,2017
